distance,velocity,hood,tof
1.8,3.755887344051323,62.0,0.5856881282389419
1.9469387755102041,3.941166917368513,62.0,0.6053190660996447
2.0938775510204084,4.116997956919974,61.812194891606254,0.6262678148867187
2.2408163265306125,4.2851859307507425,61.5772536212407,0.6474801160239451
2.3877551020408165,4.447461155605285,61.4059088649229,0.6679598690941622
2.5346938775510206,4.604289985343212,61.27484301960346,0.6878862084208077
2.6816326530612247,4.756135315578505,61.17429989518201,0.7073353408760363
2.8285714285714287,4.903684071701547,61.12386773197051,0.7260812796763662
2.975510204081633,5.0468350854630195,61.07436536299536,0.74463568317654
3.122448979591837,5.185873618630487,61.02052117748755,0.7630729501910329
3.269387755102041,5.32196739571872,61.03690788575974,0.7805320773485641
3.416326530612245,5.454388400076322,61.03618422100644,0.7980171087995052
3.5632653061224495,5.583244246629049,61.008774277358704,0.8156742869862329
3.7102040816326536,5.71006412221133,61.06054108973403,0.8321923743415283
3.8571428571428577,5.835783612347996,61.23956358754251,0.8468858887220817
4.004081632653062,5.954636185435597,61.10350989395816,0.8655396140807237
4.151020408163266,6.073669156784021,61.16742489796762,0.8814336538576634
4.29795918367347,6.190085686480667,61.21168531091088,0.8974532711662088
4.444897959183674,6.305029474802791,61.30900461056646,0.9125939776511884
4.591836734693878,6.417534323581516,61.38118179037771,0.9279466232685047
4.738775510204082,6.527543486271568,61.419182120403875,0.9436716883591652
4.885714285714286,6.636908010837888,61.54171552063776,0.9580310322018669
5.03265306122449,6.744704701424007,61.67699538574128,0.9720551486527571
5.179591836734694,6.848744091044688,61.67924824021771,0.9879857959441226
5.326530612244898,6.951179851279811,61.68367153998861,1.0038116733671623
5.473469387755102,7.05473838164116,61.86263194112042,1.0167962176489134
5.6204081632653065,7.154722976436171,61.90807668229038,1.031787806817958
5.7673469387755105,7.254031261980205,62.0,1.045937479264732
5.914285714285715,7.350492694933226,62.0,1.061517602146384
6.061224489795919,7.445647587661001,62.0,1.0770489075467309
6.208163265306123,7.539561322779174,62.0,1.0925336562871464
6.355102040816327,7.632277521979358,62.0,1.107976087288971
6.502040816326531,7.723860628860696,62.0,1.1233773878504927
6.648979591836735,7.814344414971505,62.0,1.1387421075307755
6.795918367346939,7.903781708317239,62.0,1.1540720373581481
6.942857142857143,7.992219466041562,62.0,1.1693690875206386
7.089795918367347,8.07969380342875,62.0,1.1846363512188
7.236734693877551,8.166245695052716,62.0,1.1998758803973941
7.383673469387755,8.25191294167959,62.0,1.2150896408031362
7.530612244897959,8.336729234771104,62.0,1.2302800989685292
7.677551020408163,8.420733231811234,62.0,1.245448575852345
7.8244897959183675,8.503953725560468,62.0,1.2605974636711423
7.9714285714285715,8.586422254874972,62.0,1.2757285544186079
8.118367346938776,8.668171323084058,62.0,1.2908432236491976
8.26530612244898,8.749225199366087,62.0,1.3059438010882922
8.412244897959184,8.829617513509822,62.0,1.3210310303654855
8.559183673469388,8.909368288822758,62.0,1.3361074310123577
8.706122448979592,8.988510083477907,62.0,1.3511735303704953
8.853061224489798,9.067058291661894,62.0,1.366231984627729
9.0,9.145046439856763,62.0,1.3812830059933199
