Timestamp,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity
1771296019915,,,,,,,,0,,,,
1771296019938,,,,,,,,,-0.00945042073726654,,,
1771296019956,,,,,,,,,,0,,
1771296019974,,,,,,,,,,,0,
1771296019993,,,,,,,,,,,,7.674563884735107
1771296020017,20.512820512820497,,,,,,,,,,,
1771296020038,,0,,,,,,,,,,
1771296020055,,,,0,,,,,,,,
1771296020076,,,0.00015799210814293474,,,,,,,,,
1771296020094,,,,,,-0.006711168214678764,,,,,,
1771296020112,,,,,0,,,,,,,
1771296020131,,,,,,,0,,,,,
1771296020150,,,,,,,,0,,,,
1771296020168,,,,,,,,,-0.00835471972823143,,,
1771296020204,,,,,,,,,,0,,
1771296020221,,,,,,,,,,,0,
1771296020247,,,,,,,,,,,,8.599608421325684
1771296020268,19.560439560439544,,,,,,,,,,,
1771296020286,,0,,,,,,,,,,
1771296020304,,,,0,,,,,,,,
1771296020323,,,0.00015799210814293474,,,,,,,,,
1771296020346,,,,,,-0.003561028279364109,,,,,,
1771296020370,,,,,0,,,,,,,
1771296020391,,,,,,,0,,,,,
1771296020412,,,,,,,,0,,,,
1771296020434,,,,,,,,,,0,,
1771296020455,,,,,,,,,0,,,
1771296020476,,,,,,,,,,,,9.483155250549316
1771296020498,,,,,,,,,,,0,
1771296020517,18.351648351648336,,,,,,,,,,,
1771296020541,,0,,,,,,,,,,
1771296020559,,,,0,,,,,,,,
1771296020601,,,0.00015799210814293474,,,,,,,,,
1771296020624,,,,,,0,,,,,,
1771296020643,,,,,0,,,,,,,
1771296020659,,,,,,,0.0366300366300366,,,,,
1771296020674,,,,,,,,0,,,,
1771296020705,,,,,,,,,,0,,
1771296020726,,,,,,,,,-0.012463598512113094,,,
1771296020750,,,,,,,,,,,,8.8162841796875
1771296020770,,,,,,,,,,,0,
1771296020787,20.622710622710606,,,,,,,,,,,
1771296020805,,0,,,,,,,,,,
1771296020825,,,,0,,,,,,,,
1771296020842,,,0.00015799210814293474,,,,,,,,,
1771296020860,,,,,,-0.008765608072280884,,,,,,
1771296020875,,,,,0,,,,,,,
1771296020890,,,,,,,0.0732600732600732,,,,,
1771296020908,,,,,,,,0,,,,
1771296020925,,,,,,,,,,0,,
1771296020944,,,,,,,,,-0.017531216144561768,,,
1771296020968,,,,,,,,,,,,7.878500938415527
1771296020990,,,,,,,,,,,0,
1771296021008,18.60805860805859,,,,,,,,,,,
1771296021030,,0,,,,,,,,,,
1771296021052,,,,0,,,,,,,,
1771296021076,,,0.00015799210814293474,,,,,,,,,
1771296021097,,,,,,-0.0024653272703289986,,,,,,
1771296021118,,,,,0,,,,,,,
1771296021138,,,,,,,0.0366300366300366,,,,,
1771296021160,,,,,,,,0,,,,
1771296021181,,,,,,,,,,0,,
1771296021197,,,,,,,,,0.0012326636351644993,,,
1771296021219,,,,,,,,,,,,6.914010047912598
1771296021243,,,,,,,,,,,0,
1771296021264,20.512820512820497,,,,,,,,,,,
1771296021312,,0,,,,,,,,,,
1771296021334,,,,0,,,,,,,,
1771296021353,,,0.00015799210814293474,,,,,,,,,
1771296021376,,,,,,-0.004382804036140442,,,,,,
1771296021397,,,,,0,,,,,,,
1771296021415,,,,,,,0,,,,,
1771296021434,,,,,,,,0,,,,
1771296021461,,,,,,,,,,0,,
1771296021486,,,,,,,,,-0.002739252522587776,,,
1771296021508,,,,,,,,,,,,6.2197465896606445
1771296021530,,,,,,,,,,,0,
1771296021550,20.47619047619046,,,,,,,,,,,
1771296021573,,0,,,,,,,,,,
1771296021594,,,,0,,,,,,,,
1771296021621,,,0.00015799210814293474,,,,,,,,,
1771296021644,,,,,,0,,,,,,
1771296021665,,,,,0,,,,,,,
1771296021689,,,,,,,0,,,,,
1771296021713,,,,,,,,0,,,,
1771296021733,,,,,,,,,,0,,
1771296021752,,,,,,,,,-0.001369626261293888,,,
1771296021776,,,,,,,,,,,,6.3304123878479
1771296021801,,,,,,,,,,,0,
