Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning
1771298576993,-101.72291564941406
1771298577005,,0
1771298577017,,,21.3186813186813
1771298577030,,,,0.031912293285131454
1771298577042,,,,,0
1771298577055,,,,,,0
1771298577068,,,,,,,0.014791963621973991
1771298577093,,,,,,,,0
1771298577104,,,,,,,,,0
1771298577115,,,,,,,,,,-104.95829010009766
1771298577128,,,,,,,,,,,29.30402930402928
1771298577141,,,,,,,,,,,,0
1771298577153,-101.72291564941406,,,,,,,,,,,
1771298577166,,,22.124542124542106,,,,,,,,,
1771298577178,,0,,,,,,,,,,
1771298577190,,,,-0.09751738607883453,,,,,,,,
1771298577202,,,,,0,,,,,,,
1771298577227,,,,,,0,,,,,,
1771298577241,,,,,,,-0.00999827217310667,,,,,
1771298577255,,,,,,,,0,,,,
1771298577267,,,,,,,,,0,,,
1771298577279,,,,,,,,,,-104.29210662841797,,
1771298577292,,,,,,,,,,,,0
1771298577304,,,,,,,,,,,27.87545787545785,
1771298577316,-101.12450408935547,,,,,,,,,,,
1771298577330,,,23.26007326007324,,,,,,,,,
1771298577341,,0,,,,,,,,,,
1771298577363,,,,0.0987500548362732,,,,,,,,
1771298577374,,,,,0,,,,,,,
1771298577387,,,,,,0,,,,,,
1771298577401,,,,,,,0.03848649933934212,,,,,
1771298577416,,,,,,,,0,,,,
1771298577453,,,,,,,,,0,,,
1771298577474,,,,,,,,,,-104.66478729248047,,
1771298577495,,,,,,,,,,,,0
1771298577518,,,,,,,,,,,29.047619047619023,
1771298577527,-101.722900390625,,,,,,,,,,,
1771298577539,,0,,,,,,,,,,
1771298577550,,,20.329670329670314,,,,,,,,,
1771298577561,,,,-0.015339813195168972,,,,,,,,
1771298577571,,,,,,0,,,,,,
1771298577585,,,,,0,,,,,,,
1771298577600,,,,,,,-0.0032871027942746878,,,,,
1771298577616,,,,,,,,0,,,,
1771298577643,,,,,,,,,0,,,
1771298577655,,,,,,,,,,-103.6637191772461,,
1771298577667,,,,,,,,,,,26.703296703296683,
1771298577678,,,,,,,,,,,,0
1771298577690,-101.722900390625,,,,,,,,,,,
1771298577702,,,22.930402930402913,,,,,,,,,
1771298577714,,0,,,,,,,,,,
1771298577727,,,,-0.007395981810986996,,,,,,,,
1771298577738,,,,,0,,,,,,,
1771298577748,,,,,,0,,,,,,
1771298577762,,,,,,,-0.005204579792916775,,,,,
1771298577786,,,,,,,,0,,,,
1771298577801,,,,,,,,,0,,,
1771298577812,,,,,,,,,,-102.5947265625,,
1771298577824,,,,,,,,,,,26.37362637362635,
1771298577840,,,,,,,,,,,,0
1771298577856,-101.12451171875,,,,,,,,,,,
1771298577869,,0,,,,,,,,,,
1771298577886,,,19.450549450549435,,,,,,,,,
1771298577898,,,,-0.012874485924839973,,,,,,,,
1771298577922,,,,,0.0732600732600732,,,,,,,
1771298577933,,,,,,0,,,,,,
1771298577947,,,,,,,-0.04423892870545387,,,,,
1771298577960,,,,,,,,,0,,,
1771298577974,,,,,,,,0,,,,
1771298577988,,,,,,,,,,-103.29474639892578,,
1771298578003,,,,,,,,,,,26.446886446886424,
1771298578015,,,,,,,,,,,,0
1771298578030,-101.72288513183594,,,,,,,,,,,
1771298578057,,,19.963369963369946,,,,,,,,,
1771298578072,,0,,,,,,,,,,
1771298578086,,,,-0.0053415424190461636,,,,,,,,
1771298578103,,,,,0.1465201465201464,,,,,,,
1771298578116,,,,,,0,,,,,,
1771298578131,,,,,,,0.002191402018070221,,,,,
1771298578145,,,,,,,,,0,,,
1771298578159,,,,,,,,0,,,,
1771298578175,,,,,,,,,,-102.6881332397461,,
1771298578205,,,,,,,,,,,30.073260073260048,
1771298578220,,,,,,,,,,,,0
1771298578235,-101.12448120117188,,,,,,,,,,,
1771298578250,,0,,,,,,,,,,
1771298578264,,,20.9157509157509,,,,,,,,,
1771298578279,,,,-0.05012831836938858,,,,,,,,
1771298578292,,,,,0,,,,,,,
1771298578308,,,,,,0,,,,,,
1771298578325,,,,,,,-0.08642341941595078,,,,,
1771298578355,,,,,,,,,0,,,
1771298578370,,,,,,,,0,,,,
1771298578383,,,,,,,,,,-102.98014068603516,,
1771298578400,,,,,,,,,,,34.13919413919411,
1771298578424,,,,,,,,,,,,0
1771298578447,-101.72286224365234,,,,,,,,,,,
1771298578469,,0,,,,,,,,,,
1771298578493,,,22.234432234432216,,,,,,,,,
1771298578505,,,,-0.0832732766866684,,,,,,,,
1771298578531,,,,,0,,,,,,,
1771298578543,,,,,,0,,,,,,
1771298578558,,,,,,,-0.03410369157791138,,,,,
1771298578571,,,,,,,,,0,,,
1771298578587,,,,,,,,0,,,,
1771298578601,,,,,,,,,,-102.4833755493164,,
1771298578615,,,,,,,,,,,25.75091575091573,
1771298578628,,,,,,,,,,,,0
1771298578641,-101.12445831298828,,,,,,,,,,,
1771298578670,,,19.450549450549435,,,,,,,,,
1771298578684,,0,,,,,,,,,,
1771298578699,,,,0.0632767304778099,,,,,,,,
1771298578713,,,,,0,,,,,,,
1771298578728,,,,,,0,,,,,,
1771298578742,,,,,,,0.007259019184857607,,,,,
1771298578755,,,,,,,,,0,,,
1771298578768,,,,,,,,0,,,,
1771298578780,,,,,,,,,,-103.17887115478516,,
1771298578793,,,,,,,,,,,27.619047619047596,
1771298578819,,,,,,,,,,,,0
1771298578838,-101.72284698486328,,,,,,,,,,,
1771298578852,,,20.879120879120862,,,,,,,,,
1771298578867,,0,,,,,,,,,,
1771298578880,,,,-0.1198422908782959,,,,,,,,
1771298578897,,,,,,0,,,,,,
1771298578911,,,,,0,,,,,,,
1771298578923,,,,,,,-0.03574724495410919,,,,,
1771298578940,,,,,,,,,0,,,
1771298578954,,,,,,,,0,,,,
1771298579005,,,,,,,,,,-102.47611999511719,,
1771298579031,,,,,,,,,,,32.16117216117213,
1771298579045,,,,,,,,,,,,0
1771298579058,,0,,,,,,,,,,
1771298579071,-101.72282409667969,,,,,,,,,,,
1771298579088,,,,0.08957355469465256,,,,,,,,
1771298579100,,,20.69597069597068,,,,,,,,,
1771298579113,,,,,,0,,,,,,
1771298579129,,,,,0,,,,,,,
1771298579163,,,,,,,-0.007943832315504551,,,,,
1771298579177,,,,,,,,0,,,,
1771298579192,,,,,,,,,0,,,
1771298579206,,,,,,,,,,-102.78182220458984,,
1771298579219,,,,,,,,,,,31.172161172161147,
1771298579235,,,,,,,,,,,,0
1771298579249,-101.72280883789062,,,,,,,,,,,
