Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning
1771298523813,,,0,,,,,,,,,
1771298523849,,0.020544392988085747,,,,,,,,,,
1771298523869,,,,,0.0065742055885493755,,,,,,,
1771298523888,,,,,,0,,,,,,
1771298523906,,,,0,,,,,,,,
1771298523949,,,,,,,0,,,,,
1771298523967,,,,,,,,-0.002739252522587776,,,,
1771298523988,,,,,,,,,0,,,
1771298524008,,,,,,,,,,3.040293040293038,,
1771298524028,,,,,,,,,,,-89.75496673583984,
1771298524051,35.89743589743587,,,,,,,,,,,
1771298524087,,,,,,,,,,,,0
1771298524124,,-0.048621729016304016,,,,,,,,,,
1771298524140,,,0,,,,,,,,,
1771298524158,,,,0,,,,,,,,
1771298524178,,,,,0.03889738395810127,,,,,,,
1771298524198,,,,,,0,,,,,,
1771298524216,,,,,,,0,,,,,
1771298524233,,,,,,,,0.0365690216422081,,,,
1771298524249,,,,,,,,,0,,,
1771298524265,,,,,,,,,,4.065934065934063,,
1771298524282,,,,,,,,,,,-90.35336303710938,
1771298524316,38.38827838827836,,,,,,,,,,,
1771298524334,,,,,,,,,,,,0
1771298524351,,0.03478850796818733,,,,,,,,,,
1771298524367,,,0,,,,,,,,,
1771298524387,,,,0,,,,,,,,
1771298524409,,,,,0.036021169275045395,,,,,,,
1771298524425,,,,,,0,,,,,,
1771298524442,,,,,,,0,,,,,
1771298524460,,,,,,,,0.035062432289123535,,,,
1771298524502,,,,,,,,,0,,,
1771298524524,,,,,,,,,,2.8937728937728915,,
1771298524545,,,,,,,,,,,-89.75496673583984,
1771298524565,,,,,,,,,,,,0
1771298524583,39.34065934065931,,,,,,,,,,,
1771298524603,,-0.002739252522587776,,,,,,,,,,
1771298524620,,,0,,,,,,,,,
1771298524637,,,,0,,,,,,,,
1771298524656,,,,,0.0776578038930893,,,,,,,
