Timestamp,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current
1771296345538,-9.120067596435547
1771296345556,,0
1771296345571,,,6.666666666666662
1771296345592,,,,-8.975826263427734
1771296345610,,,,,0.183150183150183
1771296345628,,,,,,0
1771296345645,,,,,,,9.260453224182129
1771296345688,,,,,,,,0
1771296345708,,,,,,,,,5.934065934065929
1771296345732,,,,,,,,,,9.378926277160645
1771296345754,,,,,,,,,,,0
1771296345788,,,,,,,,,,,,5.934065934065929
1771296345807,,0,,,,,,,,,,
1771296345828,-8.64645004272461,,,,,,,,,,,
1771296345845,,,,-8.37742805480957,,,,,,,,
1771296345863,,,6.373626373626369,,,,,,,,,
1771296345883,,,,,0.549450549450549,,,,,,,
1771296345905,,,,,,0,,,,,,
1771296345940,,,,,,,8.719040870666504,,,,,
1771296345964,,,,,,,,0,,,,
1771296345995,,,,,,,,,5.8974358974358925,,,
1771296346019,,,,,,,,,,8.585365295410156,,
1771296346042,,,,,,,,,,,0,
1771296346064,,,,,,,,,,,,5.9706959706959655
1771296346085,,0,,,,,,,,,,
1771296346106,-8.865863800048828,,,,,,,,,,,
1771296346127,,,,-8.37742805480957,,,,,,,,
1771296346151,,,5.71428571428571,,,,,,,,,
1771296346170,,,,,0.366300366300366,,,,,,,
1771296346192,,,,,,0,,,,,,
1771296346214,,,,,,,8.530853271484375,,,,,
1771296346232,,,,,,,,0,,,,
1771296346254,,,,,,,,,5.091575091575088,,,
1771296346274,,,,,,,,,,9.033096313476562,,
1771296346297,,,,,,,,,,,,5.567765567765563
1771296346319,,,,,,,,,,,0,
1771296346338,,0,,,,,,,,,,
1771296346365,-9.010908126831055,,,,,,,,,,,
1771296346388,,,,-8.975826263427734,,,,,,,,
1771296346405,,,5.27472527472527,,,,,,,,,
1771296346425,,,,,0.2564102564102562,,,,,,,
1771296346444,,,,,,0,,,,,,
1771296346466,,,,,,,9.038848876953125,,,,,
1771296346492,,,,,,,,0,,,,
1771296346514,,,,,,,,,4.542124542124538,,,
1771296346539,,,,,,,,,,8.948726654052734,,
1771296346562,,,,,,,,,,,,5.347985347985343
1771296346583,,,,,,,,,,,0,
1771296346601,,0,,,,,,,,,,
1771296346619,-8.948179244995117,,,,,,,,,,,
1771296346637,,,,-8.975826263427734,,,,,,,,
1771296346658,,,6.080586080586076,,,,,,,,,
1771296346680,,,,,0.2564102564102562,,,,,,,
1771296346698,,,,,,0,,,,,,
1771296346723,,,,,,,8.602622032165527,,,,,
1771296346743,,,,,,,,0,,,,
1771296346787,,,,,,,,,5.128205128205124,,,
1771296346808,,,,,,,,,,8.867234230041504,,
1771296346827,,,,,,,,,,,,4.1758241758241725
1771296346848,,,,,,,,,,,0,
