Timestamp,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current
1771296595708,0
1771296595723,,7.817826271057129
1771296595741,,,0
1771296595756,,,,9.48717948717948
1771296595771,,,,,7.953556537628174
1771296595788,,,,,,8.827838827838821
1771296595804,,,,,,,0
1771296595821,,,,,,,,-7.61210823059082
1771296595838,,,,,,,,,0
1771296595851,,,,,,,,,,7.985347985347979
1771296595864,,,,,,,,,,,0.0015568514354526997
1771296595880,,,,,,,,,,,,0
1771296595895,0,,,,,,,,,,,
1771296595908,,7.840288162231445,,,,,,,,,,
1771296595923,,,0,,,,,,,,,
1771296595937,,,,8.388278388278382,,,,,,,,
1771296595953,,,,,7.826455116271973,,,,,,,
1771296595970,,,,,,9.413919413919405,,,,,,
1771296595987,,,,,,,0,,,,,
1771296596004,,,,,,,,-7.714282512664795,,,,
1771296596033,,,,,,,,,0,,,
1771296596052,,,,,,,,,,7.728937728937723,,
1771296596064,,,,,,,,,,,0.0015568514354526997,
1771296596077,0,,,,,,,,,,,
1771296596091,,,,,,,,,,,,0
1771296596103,,8.232823371887207,,,,,,,,,,
1771296596117,,,0,,,,,,,,,
1771296596130,,,,8.241758241758236,,,,,,,,
1771296596144,,,,,8.017107009887695,,,,,,,
1771296596158,,,,,,7.362637362637357,,,,,,
1771296596173,,,,,,,0,,,,,
1771296596189,,,,,,,,-7.864804744720459,,,,
1771296596202,,,,,,,,,,8.754578754578747,,
1771296596218,,,,,,,,,0,,,
1771296596232,,,,,,,,,,,0.0015568514354526997,
1771296596249,,,,,,,,,,,,0
1771296596263,0,,,,,,,,,,,
1771296596277,,8.204061508178711,,,,,,,,,,
1771296596289,,,0,,,,,,,,,
1771296596304,,,,8.424908424908418,,,,,,,,
1771296596320,,,,,8.195158958435059,,,,,,,
1771296596334,,,,,,6.959706959706954,,,,,,
1771296596346,,,,,,,0,,,,,
1771296596362,,,,,,,,-8.057648658752441,,,,
1771296596380,,,,,,,,,,8.498168498168491,,
1771296596400,,,,,,,,,0,,,
1771296596416,,,,,,,,,,,0.0015568514354526997,
1771296596438,,,,,,,,,,,,0
1771296596456,0,,,,,,,,,,,
1771296596470,,7.795912742614746,,,,,,,,,,
1771296596487,,,0,,,,,,,,,
1771296596501,,,,9.04761904761904,,,,,,,,
1771296596513,,,,,7.734005451202393,,,,,,,
1771296596550,,,,,,,0,,,,,
1771296596567,,,,,,8.864468864468858,,,,,,
1771296596587,,,,,,,,-7.896580219268799,,,,
1771296596604,,,,,,,,,0,,,
1771296596620,,,,,,,,,,9.377289377289369,,
1771296596637,,,,,,,,,,,0.0015568514354526997,
1771296596652,0,,,,,,,,,,,
1771296596672,,,,,,,,,,,,0
1771296596693,,7.518700122833252,,,,,,,,,,
1771296596714,,,,8.424908424908418,,,,,,,,
1771296596729,,,0,,,,,,,,,
1771296596743,,,,,7.92972469329834,,,,,,,
1771296596764,,,,,,,0,,,,,
1771296596780,,,,,,9.999999999999991,,,,,,
1771296596798,,,,,,,,-7.9753336906433105,,,,
1771296596813,,,,,,,,,,9.084249084249077,,
1771296596830,,,,,,,,,0,,,
1771296596853,,,,,,,,,,,-0.5968420505523682,
1771296596868,0,,,,,,,,,,,
1771296596889,,,,,,,,,,,,0
1771296596906,,7.762356758117676,,,,,,,,,,
1771296596920,,,,8.241758241758236,,,,,,,,
1771296596933,,,0,,,,,,,,,
1771296596946,,,,,8.021079063415527,,,,,,,
1771296596959,,,,,,,0,,,,,
1771296596972,,,,,,7.838827838827832,,,,,,
1771296596985,,,,,,,,-7.93712043762207,,,,
1771296597002,,,,,,,,,,8.791208791208785,,
1771296597024,,,,,,,,,0,,,
1771296597037,,,,,,,,,,,0.0015568514354526997,
1771296597056,0,,,,,,,,,,,
1771296597073,,,,,,,,,,,,0
1771296597090,,7.9219183921813965,,,,,,,,,,
1771296597105,,,,9.010989010989004,,,,,,,,
1771296597121,,,0,,,,,,,,,
1771296597136,,,,,8.123527526855469,,,,,,,
1771296597155,,,,,,,0,,,,,
1771296597174,,,,,,7.32600732600732,,,,,,
1771296597190,,,,,,,,-8.153932571411133,,,,
1771296597204,,,,,,,,,,9.04761904761904,,
1771296597223,,,,,,,,,0,,,
1771296597245,,,,,,,,,,,0.0015568514354526997,
1771296597265,0,,,,,,,,,,,
1771296597281,,,,,,,,,,,,0
1771296597299,,7.989029884338379,,,,,,,,,,
1771296597317,,,,8.901098901098894,,,,,,,,
1771296597333,,,0,,,,,,,,,
1771296597350,,,,,7.779476642608643,,,,,,,
1771296597370,,,,,,,0,,,,,
1771296597386,,,,,,8.278388278388272,,,,,,
1771296597407,,,,,,,,-7.775367736816406,,,,
1771296597426,,,,,,,,,,9.7069597069597,,
1771296597442,,,,,,,,,0,,,
1771296597459,,,,,,,,,,,0.0015568514354526997,
1771296597477,0,,,,,,,,,,,
1771296597494,,,,,,,,,,,,0
1771296597512,,7.527876853942871,,,,,,,,,,
1771296597534,,,,11.318681318681309,,,,,,,,
1771296597554,,,0,,,,,,,,,
1771296597574,,,,,7.1226043701171875,,,,,,,
1771296597592,,,,,,,0,,,,,
1771296597633,,,,,,9.926739926739918,,,,,,
1771296597652,,,,,,,,-6.938937187194824,,,,
1771296597672,,,,,,,,,0,,,
1771296597689,,,,,,,,,,7.985347985347979,,
1771296597707,,,,,,,,,,,0.0015568514354526997,
1771296597725,0,,,,,,,,,,,
1771296597747,,,,,,,,,,,,0
1771296597771,,7.470489025115967,,,,,,,,,,
1771296597794,,,,6.959706959706954,,,,,,,,
1771296597812,,,0,,,,,,,,,
1771296597830,,,,,8.669734001159668,,,,,,,
1771296597852,,,,,,,0,,,,,
1771296597874,,,,,,6.666666666666662,,,,,,
1771296597894,,,,,,,,-8.734106063842773,,,,
1771296597911,,,,,,,,,0,,,
1771296597927,,,,,,,,,,9.560439560439553,,
1771296597943,,,,,,,,,,,0.0015568514354526997,
1771296597964,0,,,,,,,,,,,
1771296597984,,,,,,,,,,,,0
1771296598005,,7.6192307472229,,,,,,,,,,
1771296598024,,,,7.2527472527472465,,,,,,,,
1771296598041,,,0,,,,,,,,,
1771296598059,,,,,8.419914245605469,,,,,,,
1771296598077,,,,,,,0,,,,,
1771296598095,,,,,,8.534798534798528,,,,,,
1771296598119,,,,,,,,-8.333901405334473,,,,
1771296598141,,,,,,,,,,10.732600732600725,,
1771296598160,,,,,,,,,0,,,
1771296598180,0,,,,,,,,,,,
1771296598198,,,,,,,,,,,0.0015568514354526997,
1771296598215,,7.374752521514893,,,,,,,,,,
1771296598234,,,,,,,,,,,,0
1771296598255,,,,8.278388278388272,,,,,,,,
1771296598273,,,0,,,,,,,,,
1771296598291,,,,,8.218168258666992,,,,,,,
1771296598309,,,,,,,0,,,,,
1771296598324,,,,,,8.791208791208785,,,,,,
1771296598345,,,,,,,,-8.224194526672363,,,,
1771296598361,,,,,,,,,,9.743589743589736,,
1771296598378,,,,,,,,,0,,,
1771296598399,,,,,,,,,,,0.0015568514354526997,
1771296598419,0,,,,,,,,,,,
1771296598437,,,,,,,,,,,,0
1771296598456,,8.394438743591309,,,,,,,,,,
1771296598481,,,,8.058608058608051,,,,,,,,
1771296598505,,,0,,,,,,,,,
1771296598523,,,,,,,0,,,,,
1771296598539,,,,,7.554721355438232,,,,,,,
1771296598566,,,,,,,,-6.902641773223877,,,,
1771296598591,,,,,,10.073260073260064,,,,,,
1771296598613,,,,,,,,,,12.49084249084248,,
1771296598633,,,,,,,,,0,,,
1771296598650,,,,,,,,,,,0.0015568514354526997,
1771296598684,0,,,,,,,,,,,
1771296598726,,,,,,,,,,,,0
1771296598754,,7.559377670288086,,,,,,,,,,
1771296598774,,,,9.120879120879113,,,,,,,,
