Timestamp,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning
1771296069916,-0.0005478505045175552
1771296069950,,0
1771296069967,,,0
1771296069987,,,,0.00602635508403182
1771296070003,,,,,0
1771296070018,,,,,,0
1771296070029,,,,,,,305.9365539550781
1771296070046,,,,,,,,0
1771296070063,,,,,,,,,40.3296703296703
1771296070081,,,,,,,,,,0.00015799210814293474
1771296070097,,,,,,,,,,,0
1771296070114,,,,,,,,,,,,0
1771296070126,0.005478505045175552,,,,,,,,,,,
1771296070138,,,0,,,,,,,,,
1771296070149,,0,,,,,,,,,,
1771296070160,,,,0.005204579792916775,,,,,,,,
1771296070171,,,,,,0,,,,,,
1771296070181,,,,,0,,,,,,,
1771296070192,,,,,,,307.8885498046875,,,,,
1771296070204,,,,,,,,,36.52014652014649,,,
1771296070218,,,,,,,,0,,,,
1771296070229,,,,,,,,,,0.00015799210814293474,,
1771296070242,,,,,,,,,,,0,
1771296070257,,,,,,,,,,,,0
1771296070272,-0.0024653272703289986,,,,,,,,,,,
1771296070283,,,0,,,,,,,,,
1771296070294,,0,,,,,,,,,,
1771296070307,,,,-0.0031501404009759426,,,,,,,,
1771296070317,,,,,,0,,,,,,
1771296070329,,,,,0,,,,,,,
1771296070341,,,,,,,306.75396728515625,,,,,
1771296070351,,,,,,,,,44.24908424908421,,,
1771296070361,,,,,,,,0,,,,
1771296070373,,,,,,,,,,0.00015799210814293474,,
1771296070384,,,,,,,,,,,0,
1771296070395,,,,,,,,,,,,0
1771296070407,-0.00301317754201591,,,,,,,,,,,
1771296070417,,,0.183150183150183,,,,,,,,,
1771296070428,,0,,,,,,,,,,
1771296070440,,,,0.0034240654204040766,,,,,,,,
1771296070453,,,,,,0,,,,,,
1771296070465,,,,,0,,,,,,,
1771296070477,,,,,,,307.616943359375,,,,,
1771296070489,,,,,,,,,34.68864468864466,,,
1771296070501,,,,,,,,0,,,,
1771296070513,,,,,,,,,,0.00015799210814293474,,
1771296070524,,,,,,,,,,,0,
1771296070536,,,,,,,,,,,,0
1771296070547,-0.000684813130646944,,,,,,,,,,,
1771296070558,,,0,,,,,,,,,
1771296070571,,0,,,,,,,,,,
1771296070583,,,,0.00041088784928433597,,,,,,,,
1771296070598,,,,,,0,,,,,,
1771296070611,,,,,0,,,,,,,
1771296070625,,,,,,,307.85101318359375,,,,,
1771296070641,,,,,,,,,35.97069597069594,,,
1771296070654,,,,,,,,0,,,,
1771296070670,,,,,,,,,,0.00015799210814293474,,
1771296070682,,,,,,,,,,,0,
1771296070693,,,,,,,,,,,,0
1771296070707,-0.002739252522587776,,,,,,,,,,,
1771296070721,,,0,,,,,,,,,
1771296070735,,0,,,,,,,,,,
1771296070747,,,,0.0016435513971373439,,,,,,,,
1771296070761,,,,,,0,,,,,,
1771296070773,,,,,0,,,,,,,
1771296070789,,,,,,,307.3189392089844,,,,,
1771296070805,,,,,,,,,41.50183150183147,,,
1771296070818,,,,,,,,0,,,,
1771296070833,,,,,,,,,,0.00015799210814293474,,
1771296070852,,,,,,,,,,,0,
1771296070866,,,,,,,,,,,,0
1771296070882,0.001369626261293888,,,,,,,,,,,
1771296070898,,0,,,,,,,,,,
1771296070912,,,0,,,,,,,,,
1771296070927,,,,0.005478505045175552,,,,,,,,
1771296070940,,,,,,0,,,,,,
1771296070955,,,,,0,,,,,,,
1771296070969,,,,,,,308.17645263671875,,,,,
1771296070999,,,,,,,,0,,,,
1771296071017,,,,,,,,,35.89743589743587,,,
1771296071041,,,,,,,,,,0.00015799210814293474,,
1771296071059,,,,,,,,,,,0,
1771296071073,,,,,,,,,,,,0
1771296071091,,0,,,,,,,,,,
1771296071106,0.001369626261293888,,,,,,,,,,,
1771296071121,,,,-0.0016435513971373439,,,,,,,,
1771296071138,,,0.2197802197802196,,,,,,,,,
1771296071156,,,,,,0,,,,,,
1771296071169,,,,,0,,,,,,,
1771296071186,,,,,,,308.6888122558594,,,,,
1771296071202,,,,,,,,0,,,,
1771296071219,,,,,,,,,26.923076923076902,,,
1771296071233,,,,,,,,,,0.00015799210814293474,,
1771296071249,,,,,,,,,,,0,
1771296071263,,,,,,,,,,,,0
1771296071278,0.0034240654204040766,,,,,,,,,,,
1771296071292,,0,,,,,,,,,,
1771296071307,,,0,,,,,,,,,
1771296071320,,,,0.0065742055885493755,,,,,,,,
1771296071337,,,,,,0,,,,,,
1771296071354,,,,,0,,,,,,,
1771296071370,,,,,,,307.68927001953125,,,,,
1771296071383,,,,,,,,0,,,,
1771296071398,,,,,,,,,38.27838827838825,,,
1771296071412,,,,,,,,,,0.00015799210814293474,,
1771296071427,,,,,,,,,,,0,
1771296071440,,,,,,,,,,,,0
1771296071457,0.0005478505045175552,,,,,,,,,,,
1771296071474,,0,,,,,,,,,,
1771296071490,,,0.0732600732600732,,,,,,,,,
1771296071506,,,,0.000684813130646944,,,,,,,,
1771296071522,,,,,,0,,,,,,
1771296071536,,,,,0,,,,,,,
1771296071551,,,,,,,309.2613220214844,,,,,
1771296071567,,,,,,,,0,,,,
1771296071582,,,,,,,,,45.970695970695935,,,
1771296071603,,,,,,,,,,0.00015799210814293474,,
1771296071620,,,,,,,,,,,0,
1771296071642,,,,,,,,,,,,0
1771296071657,-0.001506588771007955,,,,,,,,,,,
1771296071675,,0,,,,,,,,,,
1771296071691,,,0,,,,,,,,,
1771296071705,,,,0.000684813130646944,,,,,,,,
1771296071719,,,,,,0,,,,,,
1771296071736,,,,,0,,,,,,,
1771296071752,,,,,,,309.2961120605469,,,,,
1771296071764,,,,,,,,0,,,,
1771296071779,,,,,,,,,13.333333333333323,,,
1771296071794,,,,,,,,,,0.00015799210814293474,,
1771296071809,,,,,,,,,,,0,
1771296071831,,,,,,,,,,,,0
1771296071853,0.0019174766493961215,,,,,,,,,,,
1771296071870,,,0,,,,,,,,,
1771296071888,,0,,,,,,,,,,
1771296071904,,,,0.0009587383246980608,,,,,,,,
1771296071919,,,,,0,,,,,,,
1771296071939,,,,,,0,,,,,,
1771296071967,,,,,,,309.9272155761719,,,,,
1771296071988,,,,,,,,0,,,,
1771296072001,,,,,,,,,36.00732600732598,,,
1771296072013,,,,,,,,,,0.00015799210814293474,,
1771296072027,,,,,,,,,,,,0
1771296072050,,,,,,,,,,,0,
1771296072065,0.001369626261293888,,,,,,,,,,,
1771296072097,,,0,,,,,,,,,
1771296072110,,0,,,,,,,,,,
1771296072126,,,,0.000684813130646944,,,,,,,,
1771296072143,,,,,0,,,,,,,
1771296072162,,,,,,0,,,,,,
1771296072177,,,,,,,309.33966064453125,,,,,
1771296072190,,,,,,,,,33.663003663003636,,,
1771296072204,,,,,,,,0,,,,
1771296072219,,,,,,,,,,0.00015799210814293474,,
1771296072237,,,,,,,,,,,,0
1771296072251,,,,,,,,,,,0,
1771296072265,-0.002739252522587776,,,,,,,,,,,
1771296072278,,,0,,,,,,,,,
1771296072292,,0,,,,,,,,,,
1771296072305,,,,-0.004656728822737932,,,,,,,,
1771296072321,,,,,0,,,,,,,
1771296072336,,,,,,0,,,,,,
1771296072355,,,,,,,310.6332702636719,,,,,
1771296072372,,,,,,,,,47.655677655677614,,,
1771296072388,,,,,,,,0,,,,
1771296072403,,,,,,,,,,0.00015799210814293474,,
1771296072418,,,,,,,,,,,,0
1771296072433,,,,,,,,,,,0,
1771296072447,-0.007259019184857607,,,,,,,,,,,
1771296072462,,,0.0366300366300366,,,,,,,,,
1771296072476,,0,,,,,,,,,,
1771296072490,,,,-0.006163318175822496,,,,,,,,
1771296072504,,,,,0,,,,,,,
1771296072520,,,,,,0,,,,,,
1771296072542,,,,,,,310.9221496582031,,,,,
1771296072555,,,,,,,,,35.16483516483514,,,
1771296072571,,,,,,,,0,,,,
1771296072589,,,,,,,,,,0.00015799210814293474,,
1771296072605,,,,,,,,,,,,0
1771296072623,,,,,,,,,,,0,
1771296072639,0.0053415424190461636,,,,,,,,,,,
1771296072657,,,0,,,,,,,,,
1771296072674,,0,,,,,,,,,,
1771296072689,,,,-0.0024653272703289986,,,,,,,,
1771296072701,,,,,0,,,,,,,
1771296072715,,,,,,0,,,,,,
1771296072729,,,,,,,310.34033203125,,,,,
1771296072744,,,,,,,,,41.79487179487176,,,
1771296072760,,,,,,,,0,,,,
1771296072777,,,,,,,,,,0.00015799210814293474,,
1771296072792,,,,,,,,,,,,0
1771296072805,,,,,,,,,,,0,
1771296072818,0.0053415424190461636,,,,,,,,,,,
1771296072832,,,0,,,,,,,,,
1771296072847,,0,,,,,,,,,,
1771296072863,,,,0.005204579792916775,,,,,,,,
1771296072878,,,,,0,,,,,,,
1771296072894,,,,,,0,,,,,,
1771296072909,,,,,,,311.1486511230469,,,,,
1771296072924,,,,,,,,,38.02197802197799,,,
1771296072941,,,,,,,,0,,,,
1771296072957,,,,,,,,,,0.00015799210814293474,,
1771296072969,,,,,,,,,,,,0
1771296072985,,,,,,,,,,,0,
