Timestamp,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning
1771295617947,19.963369963369946
1771295617962,,334.5853271484375
1771295617977,,,21.025641025641008
1771295617991,,,,0
1771295618007,,,,,0.00999827217310667
1771295618021,,,,,,0
1771295618035,,,,,,,0
1771295618050,,,,,,,,-0.0000010985544349750853
1771295618063,,,,,,,,,0
1771295618081,,,,,,,,,,0
1771295618094,,,,,,,,,,,334.3865661621094
1771295618106,,,,,,,,,,,,0
1771295618123,34.06593406593404,,,,,,,,,,,
1771295618137,,334.40301513671875,,,,,,,,,,
1771295618155,,,17.142857142857128,,,,,,,,,
1771295618172,,,,0,,,,,,,,
1771295618186,,,,,0.00041088784928433597,,,,,,,
1771295618198,,,,,,,0,,,,,
1771295618213,,,,,,0,,,,,,
1771295618229,,,,,,,,-0.0000010985544349750853,,,,
1771295618242,,,,,,,,,0,,,
1771295618255,,,,,,,,,,0,,
1771295618266,,,,,,,,,,,335.0276794433594,
1771295618278,21.97802197802196,,,,,,,,,,,
1771295618290,,,,,,,,,,,,0
1771295618300,,335.0235900878906,,,,,,,,,,
1771295618313,,,18.7179487179487,,,,,,,,,
1771295618333,,,,0,,,,,,,,
1771295618344,,,,,0.005615467205643654,,,,,,,
