Timestamp,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning
1771295571630,0
1771295571651,,4.957499027252197
1771295571673,,,0
1771295571694,,,,14.175824175824165
1771295571712,,,,,4.137777805328369
1771295571732,,,,,,0
1771295571756,,,,,,,5.164835164835161
1771295571777,,,,,,,,-0.1420302391052246
1771295571798,,,,,,,,,0
1771295571819,,,,,,,,,,0
1771295571841,,,,,,,,,,,-9.986858913180185e-7
1771295571866,,,,,,,,,,,,0
1771295571890,0,,,,,,,,,,,
1771295571910,,5.983075141906738,,,,,,,,,,
1771295571959,,,0,,,,,,,,,
1771295571982,,,,12.564102564102553,,,,,,,,
1771295572002,,,,,4.775338649749756,,,,,,,
1771295572026,,,,,,0,,,,,,
1771295572048,,,,,,,5.7509157509157465,,,,,
1771295572066,,,,,,,,-0.020133504644036293,,,,
1771295572083,,,,,,,,,0,,,
1771295572103,,,,,,,,,,0,,
1771295572127,,,,,,,,,,,-9.986858913180185e-7,
1771295572145,,,,,,,,,,,,0
1771295572164,0,,,,,,,,,,,
1771295572183,,5.0906267166137695,,,,,,,,,,
