Timestamp,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity
1771296519514,0
1771296519530,,0
1771296519545,,,-6.340958595275879
1771296519560,,,,0
1771296519574,,,,,12.893772893772883
1771296519592,,,,,,-5.982810020446777
1771296519606,,,,,,,0.0732600732600732
1771296519626,,,,,,,,0
1771296519642,,,,,,,,,-0.029036076739430428
1771296519658,,,,,,,,,,0
1771296519670,,,,,,,,,,,0
1771296519684,,,,,,,,,,,,-0.021092243492603302
1771296519699,0,,,,,,,,,,,
1771296519723,,0,,,,,,,,,,
1771296519744,,,-6.346848011016846,,,,,,,,,
1771296519757,,,,0,,,,,,,,
1771296519771,,,,,15.018315018315006,,,,,,,
1771296519784,,,,,,-6.5812087059021,,,,,,
1771296519797,,,,,,,0.0732600732600732,,,,,
1771296519810,,,,,,,,0,,,,
1771296519824,,,,,,,,,0.004519766662269831,,,
1771296519839,,,,,,,,,,0,,
1771296519853,,,,,,,,,,,0.1098901098901098,
1771296519865,,,,,,,,,,,,0.013559299521148205
1771296519878,0,,,,,,,,,,,
1771296519892,,0,,,,,,,,,,
1771296519904,,,-6.922638893127441,,,,,,,,,
1771296519921,,,,,12.124542124542115,,,,,,,
1771296519936,,,,0,,,,,,,,
1771296519952,,,,,,-7.17960786819458,,,,,,
1771296519964,,,,,,,0,,,,,
1771296519978,,,,,,,,0,,,,
1771296519991,,,,,,,,,-0.010546121746301651,,,
1771296520004,,,,,,,,,,,0.2197802197802196,
1771296520017,,,,,,,,,,0,,
1771296520030,,,,,,,,,,,,-0.04286930337548256
1771296520045,0,,,,,,,,,,,
1771296520063,,0,,,,,,,,,,
1771296520079,,,-6.946332931518555,,,,,,,,,
1771296520094,,,,0,,,,,,,,
1771296520111,,,,,11.868131868131858,,,,,,,
1771296520129,,,,,,-7.17960786819458,,,,,,
1771296520166,,,,,,,0,,,,,
1771296520183,,,,,,,,0,,,,
1771296520199,,,,,,,,,,0,,
1771296520218,,,,,,,,,-0.018079066649079323,,,
1771296520239,,,,,,,,,,,,-0.016983363777399063
1771296520254,,,,,,,,,,,0.0366300366300366,
1771296520270,0,,,,,,,,,,,
1771296520286,,0,,,,,,,,,,
1771296520306,,,-6.8716888427734375,,,,,,,,,
1771296520326,,,,0,,,,,,,,
1771296520342,,,,,14.505494505494493,,,,,,,
1771296520362,,,,,,-6.5812087059021,,,,,,
1771296520382,,,,,,,0,,,,,
1771296520400,,,,,,,,0,,,,
1771296520416,,,,,,,,,0.023694533854722977,,,
1771296520437,,,,,,,,,,0,,
1771296520453,,,,,,,,,,,0.2564102564102562,
1771296520468,,,,,,,,,,,,0.018216028809547424
1771296520486,0,,,,,,,,,,,
1771296520504,,0,,,,,,,,,,
1771296520520,,,-5.918428897857666,,,,,,,,,
1771296520538,,,,0,,,,,,,,
1771296520555,,,,,15.970695970695958,,,,,,,
1771296520571,,,,,,-5.982810020446777,,,,,,
1771296520593,,,,,,,0.0732600732600732,,,,,
1771296520614,,,,,,,,0,,,,
1771296520632,,,,,,,,,0.21557918190956116,,,
1771296520648,,,,,,,,,,0,,
1771296520668,,,,,,,,,,,0.0366300366300366,
1771296520687,,,,,,,,,,,,0.1924324780702591
1771296520706,0,,,,,,,,,,,
1771296520725,,0,,,,,,,,,,
1771296520748,,,-6.293295860290527,,,,,,,,,
1771296520763,,,,0,,,,,,,,
1771296520779,,,,,14.798534798534787,,,,,,,
1771296520797,,,,,,-6.5812087059021,,,,,,
1771296520815,,,,,,,0.0732600732600732,,,,,
1771296520831,,,,,,,,0,,,,
1771296520850,,,,,,,,,-0.008765608072280884,,,
1771296520863,,,,,,,,,,0,,
1771296520880,,,,,,,,,,,0,
1771296520900,,,,,,,,,,,,-0.01260056160390377
1771296520918,0,,,,,,,,,,,
1771296520938,,0,,,,,,,,,,
1771296520960,,,-6.547497749328613,,,,,,,,,
1771296520974,,,,0,,,,,,,,
1771296520992,,,,,11.2087912087912,,,,,,,
1771296521010,,,,,,-6.5812087059021,,,,,,
1771296521031,,,,,,,0,,,,,
1771296521051,,,,,,,,0,,,,
1771296521072,,,,,,,,,-0.024790234863758087,,,
1771296521093,,,,,,,,,,0,,
1771296521112,,,,,,,,,,,0,
1771296521130,,,,,,,,,,,,-0.031912293285131454
1771296521146,,0,,,,,,,,,,
1771296521163,0,,,,,,,,,,,
1771296521186,,,-7.196701526641846,,,,,,,,,
1771296521203,,,,0,,,,,,,,
1771296521250,,,,,12.197802197802188,,,,,,,
1771296521271,,,,,,-6.5812087059021,,,,,,
1771296521289,,,,,,,0,,,,,
1771296521314,,,,,,,,0,,,,
1771296521336,,,,,,,,,,0,,
1771296521351,,,,,,,,,-0.014107149094343185,,,
1771296521378,,,,,,,,,,,,-0.020544392988085747
1771296521399,,,,,,,,,,,0,
1771296521417,0,,,,,,,,,,,
1771296521434,,0,,,,,,,,,,
1771296521453,,,-6.443406581878662,,,,,,,,,
1771296521473,,,,0,,,,,,,,
1771296521497,,,,,13.699633699633688,,,,,,,
1771296521518,,,,,,-5.982810020446777,,,,,,
1771296521536,,,,,,,0.0732600732600732,,,,,
1771296521555,,,,,,,,0,,,,
1771296521574,,,,,,,,,,0,,
1771296521595,,,,,,,,,0.015065887942910194,,,
1771296521612,,,,,,,,,,,,0.020544392988085747
1771296521631,,,,,,,,,,,0.1465201465201464,
1771296521652,0,,,,,,,,,,,
1771296521673,,0,,,,,,,,,,
1771296521694,,,-6.9259257316589355,,,,,,,,,
1771296521715,,,,0,,,,,,,,
1771296521738,,,,,14.908424908424896,,,,,,,
1771296521759,,,,,,-6.5812087059021,,,,,,
1771296521779,,,,,,,0,,,,,
1771296521800,,,,,,,,0,,,,
1771296521820,,,,,,,,,,0,,
1771296521840,,,,,,,,,0.027666451409459114,,,
1771296521855,,,,,,,,,,,,0.049580469727516174
1771296521877,,,,,,,,,,,0.1465201465201464,
1771296521895,0,,,,,,,,,,,
1771296521915,,0,,,,,,,,,,
1771296521940,,,-6.007043361663818,,,,,,,,,
1771296521958,,,,0,,,,,,,,
1771296521984,,,,,14.32234432234431,,,,,,,
1771296522003,,,,,,-5.982810020446777,,,,,,
1771296522022,,,,,,,0.0366300366300366,,,,,
1771296522042,,,,,,,,0,,,,
1771296522061,,,,,,,,,,0,,
1771296522084,,,,,,,,,-0.021640093997120857,,,
1771296522104,,,,,,,,,,,,-0.023831496015191078
1771296522123,,,,,,,,,,,0,
1771296522144,0,,,,,,,,,,,
1771296522164,,0,,,,,,,,,,
1771296522185,,,-5.946642875671387,,,,,,,,,
1771296522203,,,,0,,,,,,,,
1771296522221,,,,,15.677655677655665,,,,,,,
1771296522247,,,,,,-5.982810020446777,,,,,,
1771296522270,,,,,,,0.0732600732600732,,,,,
1771296522309,,,,,,,,0,,,,
1771296522336,,,,,,,,,,0,,
1771296522355,,,,,,,,,-0.027392523363232613,,,
1771296522384,,,,,,,,,,,,-0.03136444091796875
1771296522419,,,,,,,,,,,0,
1771296522440,,0,,,,,,,,,,
1771296522471,0,,,,,,,,,,,
1771296522487,,,-6.848268032073975,,,,,,,,,
1771296522506,,,,0,,,,,,,,
1771296522527,,,,,14.249084249084238,,,,,,,
1771296522545,,,,,,-6.5812087059021,,,,,,
1771296522565,,,,,,,0.0366300366300366,,,,,
1771296522582,,,,,,,,0,,,,
1771296522605,,,,,,,,,0.008080794475972652,,,
1771296522625,,,,,,,,,,0,,
1771296522646,,,,,,,,,,,0.0366300366300366,
1771296522668,,,,,,,,,,,,-0.02835126221179962
1771296522694,,0,,,,,,,,,,
1771296522718,0,,,,,,,,,,,
1771296522736,,,-6.6407694816589355,,,,,,,,,
1771296522754,,,,0,,,,,,,,
1771296522785,,,,,13.260073260073248,,,,,,,
1771296522802,,,,,,-6.5812087059021,,,,,,
1771296522824,,,,,,,,0,,,,
1771296522841,,,,,,,0,,,,,
1771296522859,,,,,,,,,-0.009724345989525318,,,
1771296522878,,,,,,,,,,0,,
1771296522900,,,,,,,,,,,0.1465201465201464,
1771296522920,,,,,,,,,,,,-0.010957010090351105
1771296522943,0,,,,,,,,,,,
1771296522964,,0,,,,,,,,,,
1771296522988,,,-6.69035005569458,,,,,,,,,
1771296523010,,,,0,,,,,,,,
1771296523028,,,,,13.04029304029303,,,,,,,
1771296523045,,,,,,-7.17960786819458,,,,,,
1771296523065,,,,,,,,0,,,,
1771296523089,,,,,,,0,,,,,
1771296523111,,,,,,,,,-0.028762150555849075,,,
1771296523130,,,,,,,,,,0,,
1771296523154,,,,,,,,,,,0,
1771296523176,,,,,,,,,,,,0.024653272703289986
1771296523201,,0,,,,,,,,,,
1771296523225,0,,,,,,,,,,,
1771296523247,,,-6.2320733070373535,,,,,,,,,
1771296523265,,,,0,,,,,,,,
1771296523285,,,,,16.15384615384614,,,,,,,
1771296523302,,,,,,-5.384410858154297,,,,,,
1771296523325,,,,,,,,0,,,,
1771296523347,,,,,,,0.0366300366300366,,,,,
1771296523367,,,,,,,,,0.03040570206940174,,,
1771296523414,,,,,,,,,,0,,
1771296523436,,,,,,,,,,,0.0366300366300366,
1771296523457,,,,,,,,,,,,-0.010683084838092327
1771296523477,,0,,,,,,,,,,
1771296523494,0,,,,,,,,,,,
1771296523512,,,-5.788177490234375,,,,,,,,,
1771296523531,,,,0,,,,,,,,
1771296523551,,,,,16.48351648351647,,,,,,,
1771296523572,,,,,,-6.5812087059021,,,,,,
1771296523594,,,,,,,0,,,,,
1771296523616,,,,,,,,0,,,,
1771296523634,,,,,,,,,-0.01561373844742775,,,
1771296523654,,,,,,,,,,0,,
1771296523676,,,,,,,,,,,0,
1771296523697,,,,,,,,,,,,-0.01876387931406498
1771296523719,,0,,,,,,,,,,
1771296523739,0,,,,,,,,,,,
1771296523761,,,-6.8478569984436035,,,,,,,,,
1771296523784,,,,0,,,,,,,,
1771296523809,,,,,14.908424908424896,,,,,,,
1771296523831,,,,,,-6.5812087059021,,,,,,
1771296523849,,,,,,,,0,,,,
1771296523867,,,,,,,0,,,,,
1771296523882,,,,,,,,,0.007122056558728218,,,
1771296523898,,,,,,,,,,0,,
1771296523918,,,,,,,,,,,0,
1771296523939,,,,,,,,,,,,0.014928925782442093
1771296523960,0,,,,,,,,,,,
1771296523979,,0,,,,,,,,,,
1771296523997,,,-6.729384422302246,,,,,,,,,
1771296524015,,,,0,,,,,,,,
1771296524036,,,,,13.47985347985347,,,,,,,
1771296524055,,,,,,-6.5812087059021,,,,,,
1771296524076,,,,,,,0,,,,,
1771296524094,,,,,,,,0,,,,
1771296524114,,,,,,,,,0.002054439391940832,,,
1771296524134,,,,,,,,,,0,,
1771296524153,,,,,,,,,,,0,
1771296524176,,,,,,,,,,,,0.0039719161577522755
1771296524202,0,,,,,,,,,,,
1771296524220,,0,,,,,,,,,,
1771296524242,,,,0,,,,,,,,
1771296524276,,,-6.578041076660156,,,,,,,,,
1771296524296,,,,,,-5.982810020446777,,,,,,
1771296524323,,,,,12.82051282051281,,,,,,,
1771296524346,,,,,,,,0,,,,
1771296524367,,,,,,,0,,,,,
1771296524401,,,,,,,,,-0.024379346519708633,,,
1771296524420,,,,,,,,,,0,,
1771296524440,,,,,,,,,,,0.1465201465201464,
1771296524464,,,,,,,,,,,,-0.006437242962419987
1771296524514,0,,,,,,,,,,,
1771296524534,,0,,,,,,,,,,
1771296524558,,,,0,,,,,,,,
1771296524581,,,-6.080592632293701,,,,,,,,,
1771296524601,,,,,,-6.5812087059021,,,,,,
1771296524621,,,,,14.505494505494493,,,,,,,
1771296524639,,,,,,,,0,,,,
1771296524659,,,,,,,0,,,,,
1771296524685,,,,,,,,,0.040267009288072586,,,
1771296524706,,,,,,,,,,0,,
1771296524726,,,,,,,,,,,0,
1771296524749,,,,,,,,,,,,0.012326636351644993
1771296524769,0,,,,,,,,,,,
1771296524789,,0,,,,,,,,,,
1771296524817,,,-6.249741554260254,,,,,,,,,
1771296524837,,,,0,,,,,,,,
1771296524856,,,,,15.384615384615373,,,,,,,
1771296524879,,,,,,-6.5812087059021,,,,,,
1771296524900,,,,,,,,0,,,,
