Timestamp,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity
1771295711816,0
1771295711828,,0
1771295711842,,,1.2841615676879883
1771295711856,,,,0
1771295711868,,,,,0
1771295711884,,,,,,3.5903940200805664
1771295711897,,,,,,,0
1771295711910,,,,,,,,34.17582417582415
1771295711926,,,,,,,,,0
1771295711942,,,,,,,,,,0.1465201465201464
1771295711958,,,,,,,,,,,0
1771295711970,,,,,,,,,,,,0
1771295711984,,0,,,,,,,,,,
1771295711997,0,,,,,,,,,,,
1771295712012,,,0.13846920430660248,,,,,,,,,
1771295712026,,,,0,,,,,,,,
1771295712037,,,,,0,,,,,,,
1771295712052,,,,,,6.582388877868652,,,,,,
1771295712068,,,,,,,,33.369963369963344,,,,
1771295712081,,,,,,,0,,,,,
1771295712095,,,,,,,,,0.03136444091796875,,,
1771295712114,,,,,,,,,,0,,
1771295712131,,,,,,,,,,,0,
1771295712149,,,,,,,,,,,,0.039308272302150726
1771295712165,,0,,,,,,,,,,
1771295712177,0,,,,,,,,,,,
1771295712192,,,-0.06944005191326141,,,,,,,,,
1771295712206,,,,0,,,,,,,,
1771295712218,,,,,0,,,,,,,
1771295712234,,,,,,8.975984573364258,,,,,,
1771295712250,,,,,,,0,,,,,
1771295712269,,,,,,,,31.90476190476188,,,,
1771295712284,,,,,,,,,0.07834261655807495,,,
1771295712299,,,,,,,,,,0,,
1771295712314,,,,,,,,,,,0,
1771295712328,,,,,,,,,,,,0.04889565706253052
1771295712344,,0,,,,,,,,,,
1771295712360,0,,,,,,,,,,,
1771295712377,,,-0.023420607671141624,,,,,,,,,
1771295712392,,,,0,,,,,,,,
1771295712408,,,,,0,,,,,,,
1771295712426,,,,,,10.7711820602417,,,,,,
1771295712443,,,,,,,0,,,,,
1771295712458,,,,,,,,26.446886446886424,,,,
1771295712470,,,,,,,,,0.006437242962419987,,,
1771295712484,,,,,,,,,,0,,
1771295712497,,,,,,,,,,,0,
1771295712510,,,,,,,,,,,,0.006848130840808153
1771295712523,,0,,,,,,,,,,
1771295712536,0,,,,,,,,,,,
1771295712549,,,-0.010820046998560429,,,,,,,,,
1771295712567,,,,0,,,,,,,,
1771295712581,,,,,0,,,,,,,
1771295712597,,,,,,11.369580268859863,,,,,,
1771295712610,,,,,,,,29.816849816849793,,,,
1771295712623,,,,,,,0,,,,,
1771295712638,,,,,,,,,-0.006300280801951885,,,
1771295712652,,,,,,,,,,0,,
1771295712665,,,,,,,,,,,0,
