Top Flywheel Target Velocity,Top Flywheel Measured Velocity,Top Flywheel Current,Bottom Flywheel Target Velocity,Bottom Flywheel Measured Velocity,Bottom Flywheel Current,Azimuth Target Velocity,Azimuth Measured Velocity,Azimuth Current,Hood Target Velocity,Hood Measured Velocity,Hood Current,
20.943951023931955,0.0,5.34798526763916,20.943951023931955,0.0,2.6007325649261475,5.235987755982989,0.0,4.395604610443115,5.235987755982989,0.0,3.443223476409912,
52.35987755982988,10.276437759399414,14.505494117736816,52.35987755982988,10.352041244506836,12.417582511901855,5.235987755982989,10.23726749420166,0.0,5.235987755982989,10.20508098602295,0.0,
78.53981633974483,43.997989654541016,24.065933227539062,78.53981633974483,43.96512222290039,20.512821197509766,5.235987755982989,10.095099449157715,0.0,5.235987755982989,10.074281692504883,0.0,
104.71975511965977,68.77301025390625,24.175825119018555,104.71975511965977,68.77383422851562,21.28205108642578,5.235987755982989,11.984772682189941,0.0,5.235987755982989,11.962994575500488,0.0,
5.235987755982989,95.21733856201172,23.076923370361328,5.235987755982989,95.26171112060547,24.761905670166016,5.235987755982989,13.019935607910156,0.0,20.943951023931955,13.147721290588379,0.0,
20.943951023931955,6.279733657836914,2.0512821674346924,20.943951023931955,6.492025375366211,0.0,5.235987755982989,6.68610143661499,0.32967033982276917,20.943951023931955,7.08589506149292,14.688644409179688,
52.35987755982988,14.700328826904297,11.648351669311523,52.35987755982988,14.628560066223145,7.875457763671875,5.235987755982989,14.611303329467773,0.0,20.943951023931955,14.591717720031738,9.523809432983398,
78.53981633974483,45.902042388916016,19.450550079345703,78.53981633974483,45.81986618041992,16.77655601501465,5.235987755982989,15.976956367492676,0.0,20.943951023931955,18.394073486328125,4.395604610443115,
104.71975511965977,70.76896667480469,23.150182723999023,104.71975511965977,70.78211212158203,21.61172103881836,5.235987755982989,17.022802352905273,0.0,20.943951023931955,21.10798454284668,3.846153736114502,
5.235987755982989,95.13282775878906,25.714284896850586,5.235987755982989,95.0729751586914,22.78388214111328,5.235987755982989,18.04564094543457,0.0,52.35987755982988,21.145923614501953,2.893772840499878,
20.943951023931955,9.376320838928223,0.0,20.943951023931955,9.36988353729248,0.0,5.235987755982989,11.358168601989746,0.0,52.35987755982988,29.762239456176758,29.670330047607422,
52.35987755982988,18.71675682067871,7.106226921081543,52.35987755982988,18.747161865234375,4.3223443031311035,5.235987755982989,18.914257049560547,0.0,52.35987755982988,33.158363342285156,29.487178802490234,
78.53981633974483,46.29869079589844,20.439559936523438,78.53981633974483,46.31923294067383,18.681318283081055,5.235987755982989,20.614097595214844,0.0,52.35987755982988,46.01065444946289,19.743589401245117,
104.71975511965977,70.73582458496094,23.809524536132812,104.71975511965977,70.7436294555664,20.91575050354004,5.235987755982989,22.05768394470215,0.0,52.35987755982988,47.73337173461914,18.205127716064453,
5.235987755982989,96.41397094726562,23.992673873901367,5.235987755982989,96.4742431640625,18.60805892944336,5.235987755982989,23.347734451293945,0.0,78.53981633974483,48.034549713134766,15.970695495605469,
20.943951023931955,8.648090362548828,0.0,20.943951023931955,8.585908889770508,0.0,5.235987755982989,14.527755737304688,0.0,78.53981633974483,54.88637924194336,31.355310440063477,
52.35987755982988,21.00676918029785,8.571428298950195,52.35987755982988,21.1016845703125,3.4065933227539062,5.235987755982989,20.913087844848633,0.0,78.53981633974483,52.7396240234375,30.769229888916016,
78.53981633974483,52.82399368286133,18.27838897705078,78.53981633974483,52.848785400390625,13.55311393737793,5.235987755982989,20.692167282104492,0.0,78.53981633974483,58.17964172363281,28.60805892944336,
104.71975511965977,71.13945770263672,26.66666603088379,104.71975511965977,71.16383361816406,20.366300582885742,5.235987755982989,22.3792724609375,0.0,78.53981633974483,67.21040344238281,21.39194107055664,
5.235987755982989,94.58401489257812,23.4798526763916,5.235987755982989,94.53265380859375,20.549449920654297,5.235987755982989,23.08791732788086,0.0,104.71975511965977,69.56397247314453,18.0219783782959,
20.943951023931955,9.036515235900879,0.0,20.943951023931955,9.10965347290039,0.0,5.235987755982989,15.38144302368164,0.0,104.71975511965977,74.99262237548828,36.30036544799805,
52.35987755982988,21.35396957397461,8.241758346557617,52.35987755982988,21.387937545776367,3.1868131160736084,5.235987755982989,21.513668060302734,0.0,104.71975511965977,75.02288818359375,32.380950927734375,
78.53981633974483,52.845909118652344,16.41025733947754,78.53981633974483,52.83631896972656,12.234432220458984,5.235987755982989,22.04864501953125,0.0,104.71975511965977,74.18262481689453,39.67033004760742,
104.71975511965977,77.51314544677734,22.930402755737305,104.71975511965977,77.48739624023438,13.992673873901367,5.235987755982989,24.795839309692383,0.0,104.71975511965977,78.8867416381836,33.0402946472168,
5.235987755982989,95.94131469726562,27.435897827148438,5.235987755982989,96.02281188964844,19.377288818359375,20.943951023931955,24.797895431518555,0.0,5.235987755982989,90.33065032958984,25.494504928588867,
