Timestamp,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity
1771298688348,,,,,0,,,,,,,
1771298688397,,,,,,,0,,,,,
1771298688425,,,,,,-107.70574951171875,,,,,,
1771298688479,,,,,,,,,107.8410873413086,,,
1771298688501,,,,,,,,18.058608058608044,,,,
1771298688523,,,,,,,,,,,14.175824175824165,
1771298688550,,,,,,,,,,0,,
1771298688572,0,,,,,,,,,,,
1771298688606,,,,,,,,,,,,107.32760620117188
1771298688632,,,-107.7713623046875,,,,,,,,,
1771298688650,,16.336996336996325,,,,,,,,,,
1771298688695,,,,18.3150183150183,,,,,,,,
1771298688716,,,,,0,,,,,,,
1771298688736,,,,,,,0,,,,,
1771298688760,,,,,,-107.70574951171875,,,,,,
1771298688781,,,,,,,,,108.13513946533203,,,
1771298688802,,,,,,,,18.351648351648336,,,,
1771298688819,,,,,,,,,,,15.091575091575079,
1771298688840,,,,,,,,,,0,,
1771298688890,,,,,,,,,,,,107.8184814453125
1771298688914,0,,,,,,,,,,,
1771298688939,,12.49084249084248,,,,,,,,,,
1771298688959,,,-108.228271484375,,,,,,,,,
1771298688979,,,,,0,,,,,,,
1771298688998,,,,13.47985347985347,,,,,,,,
1771298689018,,,,,,,0,,,,,
1771298689037,,,,,,-107.70574951171875,,,,,,
1771298689062,,,,,,,,,108.32388305664062,,,
1771298689102,,,,,,,,16.117216117216103,,,,
1771298689132,,,,,,,,,,,14.578754578754566,
1771298689171,,,,,,,,,,0,,
1771298689193,,,,,,,,,,,,107.43567657470703
1771298689213,0,,,,,,,,,,,
1771298689236,,12.893772893772883,,,,,,,,,,
1771298689259,,,-108.11459350585938,,,,,,,,,
1771298689305,,,,,0,,,,,,,
1771298689325,,,,16.227106227106212,,,,,,,,
1771298689341,,,,,,-107.70574951171875,,,,,,
1771298689358,,,,,,,0,,,,,
1771298689375,,,,,,,,16.886446886446873,,,,
1771298689397,,,,,,,,,108.24800109863281,,,
1771298689418,,,,,,,,,,0,,
1771298689439,,,,,,,,,,,14.065934065934055,
1771298689459,,,,,,,,,,,,107.9736557006836
1771298689531,,14.175824175824165,,,,,,,,,,
1771298689555,0,,,,,,,,,,,
1771298689574,,,,,0,,,,,,,
1771298689596,,,-108.40070343017578,,,,,,,,,
1771298689636,,,,,,-107.70574951171875,,,,,,
1771298689651,,,,,,,0,,,,,
1771298689689,,,,19.70695970695969,,,,,,,,
1771298689703,,,,,,,,17.912087912087898,,,,
1771298689746,,,,,,,,,106.900146484375,,,
1771298689792,,,,,,,,,,0,,
1771298689809,,,,,,,,,,,14.615384615384603,
1771298689828,,,,,,,,,,,,107.43389129638672
1771298689846,0,,,,,,,,,,,
1771298689864,,17.54578754578753,,,,,,,,,,
1771298689883,,,,,0,,,,,,,
1771298689898,,,-106.93164825439453,,,,,,,,,
1771298689920,,,,,,-107.70574951171875,,,,,,
1771298689938,,,,16.190476190476176,,,,,,,,
1771298689975,,,,,,,,18.498168498168482,,,,
1771298689994,,,,,,,0,,,,,
1771298690013,,,,,,,,,108.40645599365234,,,
1771298690030,,,,,,,,,,0,,
1771298690048,,,,,,,,,,,15.091575091575079,
1771298690067,,,,,,,,,,,,107.0494384765625
1771298690085,,13.296703296703285,,,,,,,,,,
1771298690107,0,,,,,,,,,,,
1771298690145,,,-106.99835205078125,,,,,,,,,
1771298690162,,,,,0,,,,,,,
1771298690183,,,,17.2161172161172,,,,,,,,
1771298690205,,,,,,-107.10733032226562,,,,,,
1771298690226,,,,,,,0,,,,,
1771298690246,,,,,,,,16.04395604395603,,,,
1771298690271,,,,,,,,,,0,,
1771298690297,,,,,,,,,108.07775115966797,,,
1771298690326,,,,,,,,,,,,106.73743438720703
1771298690366,,,,,,,,,,,9.450549450549444,
1771298690382,,13.36996336996336,,,,,,,,,,
1771298690399,0,,,,,,,,,,,
1771298690423,,,-108.30032348632812,,,,,,,,,
1771298690439,,,,,0,,,,,,,
1771298690455,,,,18.058608058608044,,,,,,,,
1771298690470,,,,,,-107.70573425292969,,,,,,
1771298690487,,,,,,,,15.054945054945042,,,,
1771298690517,,,,,,,0,,,,,
1771298690545,,,,,,,,,107.68768310546875,,,
1771298690579,,,,,,,,,,0,,
1771298690594,,,,,,,,,,,13.772893772893761,
1771298690612,,,,,,,,,,,,108.27306365966797
1771298690630,0,,,,,,,,,,,
1771298690647,,15.347985347985336,,,,,,,,,,
1771298690665,,,,,0,,,,,,,
1771298690681,,,-107.85231018066406,,,,,,,,,
1771298690713,,,,,,-108.30414581298828,,,,,,
1771298690740,,,,18.278388278388263,,,,,,,,
1771298690759,,,,,,,,17.912087912087898,,,,
1771298690776,,,,,,,0,,,,,
1771298690794,,,,,,,,,107.53592681884766,,,
1771298690813,,,,,,,,,,0,,
1771298690829,,,,,,,,,,,12.014652014652004,
1771298690848,,,,,,,,,,,,107.49703979492188
1771298690883,,11.758241758241748,,,,,,,,,,
1771298690901,0,,,,,,,,,,,
1771298690919,,,,,0,,,,,,,
1771298690936,,,-107.87039947509766,,,,,,,,,
1771298690953,,,,,,-107.70573425292969,,,,,,
1771298690972,,,,17.80219780219779,,,,,,,,
1771298690995,,,,,,,,15.164835164835152,,,,
1771298691015,,,,,,,0,,,,,
1771298691037,,,,,,,,,107.59838104248047,,,
1771298691077,,,,,,,,,,0,,
1771298691101,,,,,,,,,,,17.069597069597055,
1771298691123,,,,,,,,,,,,107.3528060913086
1771298691149,0,,,,,,,,,,,
1771298691170,,13.406593406593396,,,,,,,,,,
1771298691192,,,,,0,,,,,,,
1771298691213,,,-107.62522888183594,,,,,,,,,
1771298691241,,,,,,-107.70573425292969,,,,,,
1771298691266,,,,15.604395604395592,,,,,,,,
1771298691333,,,,,,,,16.996336996336982,,,,
1771298691356,,,,,,,0,,,,,
1771298691379,,,,,,,,,106.88740539550781,,,
1771298691397,,,,,,,,,,0,,
1771298691418,,,,,,,,,,,12.60073260073259,
