Timestamp,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current
1771296627919,0
1771296627934,,104.60081481933594
1771296627949,,,18.791208791208774
1771296627965,,,,0
1771296627993,,,,,104.56890869140625
1771296628013,,,,,,20.769230769230752
1771296628028,,,,,,,0
1771296628040,,,,,,,,-104.68231201171875
1771296628050,,,,,,,,,0
1771296628071,,,,,,,,,,21.904761904761887
1771296628082,,,,,,,,,,,0.0015568514354526997
1771296628093,,,,,,,,,,,,0
1771296628104,0,,,,,,,,,,,
1771296628115,,105.86470794677734,,,,,,,,,,
1771296628126,,,24.68864468864467,,,,,,,,,
1771296628138,,,,0,,,,,,,,
1771296628149,,,,,104.47303771972656,,,,,,,
1771296628161,,,,,,19.047619047619033,,,,,,
1771296628187,,,,,,,0,,,,,
1771296628200,,,,,,,,-103.64578247070312,,,,
1771296628213,,,,,,,,,,21.57509157509156,,
1771296628225,,,,,,,,,0,,,
1771296628238,,,,,,,,,,,0.0015568514354526997,
1771296628250,0,,,,,,,,,,,
1771296628265,,,,,,,,,,,,0
1771296628277,,105.78609466552734,,,,,,,,,,
1771296628290,,,18.754578754578738,,,,,,,,,
1771296628302,,,,0,,,,,,,,
1771296628315,,,,,105.74048614501953,,,,,,,
1771296628328,,,,,,21.46520146520145,,,,,,
1771296628341,,,,,,,0,,,,,
1771296628353,,,,,,,,-103.96449279785156,,,,
1771296628365,,,,,,,,,,22.271062271062252,,
1771296628380,,,,,,,,,0,,,
1771296628393,,,,,,,,,,,0.0015568514354526997,
1771296628406,,,,,,,,,,,,0
1771296628417,0,,,,,,,,,,,
1771296628430,,105.09703063964844,,,,,,,,,,
1771296628445,,,18.901098901098887,,,,,,,,,
1771296628458,,,,0,,,,,,,,
1771296628471,,,,,105.08402252197266,,,,,,,
1771296628484,,,,,,19.633699633699617,,,,,,
1771296628497,,,,,,,0,,,,,
1771296628510,,,,,,,,-103.88518524169922,,,,
1771296628522,,,,,,,,,,22.380952380952362,,
1771296628534,,,,,,,,,0,,,
1771296628546,,,,,,,,,,,0.0015568514354526997,
1771296628560,,,,,,,,,,,,0
1771296628573,0,,,,,,,,,,,
1771296628588,,104.89816284179688,,,,,,,,,,
1771296628599,,,23.18681318681317,,,,,,,,,
1771296628610,,,,0,,,,,,,,
1771296628625,,,,,105.30863952636719,,,,,,,
1771296628640,,,,,,17.509157509157493,,,,,,
1771296628654,,,,,,,0,,,,,
1771296628668,,,,,,,,-103.92532348632812,,,,
1771296628688,,,,,,,,,,24.57875457875456,,
1771296628705,,,,,,,,,0,,,
1771296628723,,,,,,,,,,,0.0015568514354526997,
1771296628738,0,,,,,,,,,,,
1771296628752,,,,,,,,,,,,0
1771296628765,,104.90556335449219,,,,,,,,,,
1771296628779,,,17.69230769230768,,,,,,,,,
1771296628796,,,,0,,,,,,,,
1771296628814,,,,,104.93541717529297,,,,,,,
1771296628831,,,,,,,0,,,,,
1771296628848,,,,,,18.388278388278373,,,,,,
1771296628861,,,,,,,,-104.10254669189453,,,,
1771296628875,,,,,,,,,,25.53113553113551,,
1771296628889,,,,,,,,,0,,,
1771296628904,,,,,,,,,,,0.0015568514354526997,
1771296628920,0,,,,,,,,,,,
1771296628939,,,,,,,,,,,,0
1771296628954,,104.5167236328125,,,,,,,,,,
1771296628973,,,23.333333333333314,,,,,,,,,
1771296628987,,,,0,,,,,,,,
1771296629000,,,,,104.52919006347656,,,,,,,
1771296629013,,,,,,,0,,,,,
1771296629026,,,,,,18.461538461538446,,,,,,
1771296629043,,,,,,,,-104.00626373291016,,,,
1771296629059,,,,,,,,,,26.95970695970694,,
1771296629079,,,,,,,,,0,,,
1771296629096,,,,,,,,,,,0.0015568514354526997,
1771296629129,0,,,,,,,,,,,
1771296629146,,,,,,,,,,,,0
1771296629167,,105.74746704101562,,,,,,,,,,
1771296629183,,,,0,,,,,,,,
1771296629197,,,17.80219780219779,,,,,,,,,
1771296629212,,,,,105.70076751708984,,,,,,,
1771296629231,,,,,,,0,,,,,
1771296629244,,,,,,17.362637362637347,,,,,,
1771296629262,,,,,,,,-104.13652038574219,,,,
1771296629280,,,,,,,,,,22.08791208791207,,
1771296629294,,,,,,,,,0,,,
1771296629310,,,,,,,,,,,0.0015568514354526997,
1771296629328,,,,,,,,,,,,0
1771296629344,0,,,,,,,,,,,
1771296629359,,105.04704284667969,,,,,,,,,,
1771296629374,,,20.769230769230752,,,,,,,,,
1771296629390,,,,0,,,,,,,,
1771296629407,,,,,105.08977508544922,,,,,,,
1771296629426,,,,,,,0,,,,,
1771296629443,,,,,,19.780219780219763,,,,,,
1771296629458,,,,,,,,-103.65618896484375,,,,
1771296629476,,,,,,,,,0,,,
1771296629493,,,,,,,,,,26.48351648351646,,
1771296629513,,,,,,,,,,,0.0015568514354526997,
1771296629527,0,,,,,,,,,,,
1771296629547,,,,,,,,,,,,0
1771296629564,,104.89104461669922,,,,,,,,,,
1771296629582,,,16.48351648351647,,,,,,,,,
1771296629606,,,,0,,,,,,,,
1771296629621,,,,,104.88118743896484,,,,,,,
1771296629642,,,,,,,0,,,,,
1771296629664,,,,,,18.7179487179487,,,,,,
1771296629682,,,,,,,,-102.94438934326172,,,,
1771296629704,,,,,,,,,0,,,
1771296629721,,,,,,,,,,26.776556776556756,,
1771296629737,,,,,,,,,,,0.0015568514354526997,
1771296629751,0,,,,,,,,,,,
1771296629768,,,,,,,,,,,,0
1771296629785,,104.68696594238281,,,,,,,,,,
